Sample Name	COSMIC identifier	Whole Exome Sequencing (WES)	Copy Number Alterations (CNA)	Gene Expression	Methylation	Drug Response	GDSC Tissue descriptor 1	GDSC Tissue descriptor 2	Cancer Type (matching TCGA label)	Microsatellite instability Status (MSI)	Screen Medium	Growth Properties
NA	L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KNS62_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	H4_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	LGG	NA	NA	NA
NA	CALU1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	IM95_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	BT20_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	IGROV1_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	BXPC3_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KNS42_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	SKMEL5_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	MSTO211H_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIN87_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	OV90_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	KNS81_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	NCIH1563_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH661_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MDAMB468_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	PATU8902_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	HS840T_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	NCIH28_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	NCIH1693_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SKCO1_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	BT474_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	ZR7530_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	HCC56_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	NCIH520_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	HS936T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	EBC1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	NCIH1341_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1975_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH1793_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH2172_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH358_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SW1417_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	SNU398_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	SNU449_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	NCIH1648_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HMC18_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	COLO678_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	NCIH2052_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	OC315_OVARY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SNGM_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	MFE319_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	HMCB_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	NCIH1694_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	CAL12T_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SKMEL31_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	LU99_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HS729_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SU8686_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	KE39_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	SUIT2_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	SCC25_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	SF126_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	GAMG_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	AZ521_STOMACH	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	LN229_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	RPMI7951_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC1187_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	HS578T_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	JHH5_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	MHHES1_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	COLO741_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	RKO_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HEC265_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	HUPT4_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	PSN1_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	SKNSH_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	WM88_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	RT4_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	HT1197_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	HEYA8_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	NUGC4_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	HT1080_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	T98G_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	EFO27_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	LS123_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	CAL27_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	ISTMES2_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	HCC2935_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SIMA_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SW780_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	ASPC1_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	MCF7_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	NCIH322_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	PC14_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	RT112_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	PK45H_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	SKES1_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KP4_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	ONS76_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	WM983B_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	KLE_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	CAPAN2_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	VMRCLCD_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1092_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH2030_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HEP3B217_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	JHOS2_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NIHOVCAR3_OVARY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MFE280_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	LOUNH91_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	A673_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1581_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	8305C_THYROID	NA	NA	NA	NA	NA	NA	NA	THCA	NA	NA	NA
NA	TE9_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	HUH1_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	NCIH460_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH2023_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	LN18_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	CORL23_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	A2058_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	COLO679_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	HEC6_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	HPAFII_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	COV504_OVARY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MELHO_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	8505C_THYROID	NA	NA	NA	NA	NA	NA	NA	THCA	NA	NA	NA
NA	RERFLCAI_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	MG63_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SNU423_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	PLCPRF5_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	WM1799_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SW579_THYROID	NA	NA	NA	NA	NA	NA	NA	THCA	NA	NA	NA
NA	MEWO_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	KYSE150_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	JMSU1_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	769P_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	HEC59_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	HEPG2_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	SKNFI_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC827_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	T47D_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	DU145_PROSTATE	NA	NA	NA	NA	NA	NA	NA	PRAD	NA	NA	NA
NA	JHH4_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKMES1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	HARA_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	HS739T_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	HEC151_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	CHP212_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HDQP1_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	T84_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	CORL105_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SW48_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	PANC0403_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	TE617T_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SBC5_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKLMS1_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH2009_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	C3A_LIVER	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1339_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	NCIH1944_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	BCPAP_THYROID	NA	NA	NA	NA	NA	NA	NA	THCA	NA	NA	NA
NA	MCAS_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	FU97_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	A2780_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	DETROIT562_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	WM115_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	HCT15_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	HPAC_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	HCC1569_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	PK1_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	T3M10_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	CALU3_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	GCIY_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	CAKI2_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	C32_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	AN3CA_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
